GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dainichi-voting-API,com.github.jbrasileiro.dainichi.configuration,RabbitMQConfiguration,0,3,0,0,0,1,0,1,0,1
dainichi-voting-API,com.github.jbrasileiro.dainichi.configuration,QuartzConfiguration,0,20,0,0,0,10,0,3,0,3
dainichi-voting-API,com.github.jbrasileiro.dainichi.configuration,FlywayConfiguration,0,3,0,0,0,1,0,1,0,1
dainichi-voting-API,com.github.jbrasileiro.dainichi.commons.service,DefaultDateProvider,6,3,0,0,2,1,2,1,2,1
dainichi-voting-API,com.github.jbrasileiro.dainichi.commons.enums,VoteEnum,0,31,0,2,0,6,0,3,0,2
dainichi-voting-API,com.github.jbrasileiro.dainichi.commons.io,ResourceReader,36,0,2,0,8,0,3,0,2,0
dainichi-voting-API,com.github.jbrasileiro.dainichi,DainichiVotingApiApplication,5,3,0,0,2,1,1,1,1,1
dainichi-voting-API,com.github.jbrasileiro.dainichi.orm.entity,Ruling,0,3,0,0,0,1,0,1,0,1
dainichi-voting-API,com.github.jbrasileiro.dainichi.orm.entity,Associate,0,3,0,0,0,1,0,1,0,1
dainichi-voting-API,com.github.jbrasileiro.dainichi.orm.entity,Voting,0,3,0,0,0,1,0,1,0,1
dainichi-voting-API,com.github.jbrasileiro.dainichi.orm.entity,Session,5,26,2,2,1,7,2,2,0,2
dainichi-voting-API,com.github.jbrasileiro.dainichi.session,SessionServiceDefault,16,66,0,4,3,18,2,6,2,4
dainichi-voting-API,com.github.jbrasileiro.dainichi.session,SessionResultServiceDefault,5,132,0,4,2,35,0,9,0,7
dainichi-voting-API,com.github.jbrasileiro.dainichi.session,SessionEndpoint,0,15,0,0,0,5,0,3,0,3
dainichi-voting-API,com.github.jbrasileiro.dainichi.ruling,RulingServiceDefault,0,22,0,0,0,6,0,3,0,3
dainichi-voting-API,com.github.jbrasileiro.dainichi.ruling,RulingEndpoint,0,38,0,0,0,9,0,6,0,6
dainichi-voting-API,com.github.jbrasileiro.dainichi.sessionresult.job,SessionClosedJob,4,6,0,0,2,3,1,1,1,1
dainichi-voting-API,com.github.jbrasileiro.dainichi.commons,AbstractService,3,41,0,0,1,10,1,6,1,6
dainichi-voting-API,com.github.jbrasileiro.dainichi.commons,ApplicationRuntimeException,12,7,0,0,5,3,3,2,3,2
dainichi-voting-API,com.github.jbrasileiro.dainichi.sessionresult,SessionResultEndpoint,0,11,0,0,0,4,0,2,0,2
dainichi-voting-API,com.github.jbrasileiro.dainichi.sessionresult.jms.cloudstream,SessionResultListener,5,7,0,0,2,2,1,2,1,2
dainichi-voting-API,com.github.jbrasileiro.dainichi.associate,CPFValidatorServiceDefault,0,76,0,4,0,20,0,6,0,4
dainichi-voting-API,com.github.jbrasileiro.dainichi.associate,AssociateEndpoint,0,38,0,0,0,9,0,6,0,6
dainichi-voting-API,com.github.jbrasileiro.dainichi.associate,AssociateServiceDefault,0,73,0,2,0,18,0,5,0,4
dainichi-voting-API,com.github.jbrasileiro.dainichi.voting,VotingServiceDefault,58,13,2,0,14,5,3,1,2,1
dainichi-voting-API,com.github.jbrasileiro.dainichi.voting,VotingEndpoint,9,6,0,0,2,3,2,1,2,1
